SessionID,avg_page_view_time_seconds,num_page_views_in_session
pc897.megacom.telia.se_1,0.0,1
magic.winnet.net_1,0.0,1
client-71-42.online.apple.com_1,0.0,1
dserpa.llnl.gov_7,0.0,1
tisan3.nosc.mil_1,0.0,1
barney.poly.edu_2,0.0,1
azstarnet.com_7,0.0,1
163.205.23.71_44,0.0,1
128.158.53.145_5,0.0,1
www-c2.proxy.aol.com_132,0.0,1
ksa1018.ksc.nasa.gov_3,0.0,1
anadolu.berkeley.edu_3,0.0,1
libbabac-es.tamu.edu_8,0.0,1
acme.freenet.columbus.oh.us_40,0.0,1
138.87.159.20_1,0.0,1
gemini.tntech.edu_11,0.0,1
slrp02.atsc.allied.com_1,0.0,1
titan02f_10,0.0,1
www-a1.proxy.aol.com_475,0.0,1
libbabac-es.tamu.edu_3,0.0,1
www-e5.proxy.aol.com_1,0.0,1
genesis.cupa.wright.edu_1,0.0,1
dwise.sp.trw.com_1,0.0,1
algol.ksc.nasa.gov_12,0.0,1
mocha.ee.pitt.edu_3,0.0,1
titian.ecs.soton.ac.uk_1,0.0,1
163.205.23.71_26,0.0,1
jaguar.uofs.edu_1,0.0,1
tmerrit_pc.micron.com_1,0.0,1
dungeon.microserve.net_4,0.0,1
128.158.53.179_3,0.0,1
funhouse.aps.anl.gov_1,0.0,1
homer19.u.washington.edu_4,0.0,1
163.205.2.62_1,0.0,1
homer19.u.washington.edu_2,0.0,1
homer27.u.washington.edu_1,0.0,1
dip102.physics.unt.edu_1,0.0,1
ra1.randomc.com_3,0.0,1
irk.ctd.ornl.gov_1,0.0,1
svt06.arc.nasa.gov_1,0.0,1
165.95.33.25_2,0.0,1
abaco.coastalnet.com_2,0.0,1
pappas-pc5.bu.edu_1,0.0,1
www-b4.proxy.aol.com_498,0.0,1
medea.cs.rice.edu_1,0.0,1
wintermute.ksc.nasa.gov_1,0.0,1
199.171.191.52_1,0.0,1
n1032822.ksc.nasa.gov_2,0.0,1
n1043316.ksc.nasa.gov_2,0.0,1
oldspice.pg.com_8,0.0,2
homer26.u.washington.edu_3,0.0,1
knuth.mtsu.edu_1,0.0,1
homer23.u.washington.edu_1,0.0,1
129.219.20.30_1,0.0,1
triton_58,0.0,1
heart123.med.uth.tmc.edu_1,0.0,1
river.biddeford.com_2,0.0,1
socrates.helios.nd.edu_2,0.0,1
163.205.18.20_5,0.0,1
155.138.32.11_1,0.0,1
ops1.esc4.tenet.edu_3,0.0,1
soho.ios.com_2,0.0,1
155.31.11.158_1,0.0,1
triton_14,0.0,1
sd-mcdonald-2.jsc.nasa.gov_1,0.0,1
venus.cc.hollandc.pe.ca_1,0.0,1
argonaut.ncts.navy.mil_1,0.0,1
lss1068.lss.emc.com_8,0.0,1
fredremote1.gwcc.com_1,0.0,1
condor.physics.ucsb.edu_1,0.0,1
beta.xerox.com_19,0.0,1
155.31.24.51_2,0.0,1
macareux.lannion.cnet.fr_6,0.0,1
msuacad.morehead-st.edu_1,0.0,1
msuacad.morehead-st.edu_2,0.0,1
129.48.97.147_1,0.0,1
139.169.174.81_6,0.0,1
hpc-12.trenton.edu_1,0.0,1
www-d3.proxy.aol.com_379,0.0,1
sace.wuacc.edu_1,0.0,1
ares.tn.cornell.edu_3,0.0,1
troll.utd.rochester.edu_2,0.0,1
pm2-32.tvs.net_2,0.0,1
131.25.157.26_7,0.0,1
131.25.157.27_1,0.0,1
wall.ce.kth.se_1,0.0,1
host62.ascend.interop.eunet.de_80,0.0,1
voir.mit.edu_1,0.0,1
soleil.acomp.usf.edu_1,0.0,1
coopwf93.sp.trw.com_6,0.0,1
pioneer.nevada.edu_9,0.0,1
194.106.4.5_1,0.0,1
jhodgson.cto.az.honeywell.com_7,0.0,1
205.133.23.28_1,0.0,1
rs710.gsfc.nasa.gov_9,0.0,1
128.159.72.25_15,0.0,1
ug-mm21.cso.uiuc.edu_1,0.0,1
194.112.23.102_1,0.0,1
www-b1.proxy.aol.com_178,0.0,1
aurora.niar.twsu.edu_2,0.0,1
203.12.176.145_8,0.0,1
solstice.tamu.edu_1,0.0,1
dialin.ind.net_2,0.0,1
bets.fbk.eur.nl_6,0.0,1
www-b5.proxy.aol.com_185,0.0,1
netsvr.sjc.org_4,0.0,1
www-b4.proxy.aol.com_511,0.0,1
mrdata.cistron.nl_18,0.0,1
el_diente.cs.colorado.edu_1,0.0,1
jlaue.stx.com_1,0.0,1
mac6.library.mc.maricopa.edu_1,0.0,1
157.235.50.120_1,0.0,1
augustus.ns.itd.umich.edu_3,0.0,1
int_sampler2.net.org_3,0.0,1
192.152.226.20_1,0.0,1
jobbins.cat.csiro.au_2,0.0,1
ames-research-pc-6.ucsd.edu_1,0.0,1
www-b5.proxy.aol.com_301,0.0,1
lfhp185.hso.link.com_1,0.0,1
degas.cs.unm.edu_2,0.0,1
www-d3.proxy.aol.com_107,0.0,1
eliot153.wustl.edu_1,0.0,1
line032.nwm.mindlink.net_1,0.0,1
n1122781.ksc.nasa.gov_1,0.0,1
hp-16.cae.wisc.edu_1,0.0,1
seminole.gate.net_7,0.0,1
ariel.roses.rockwell.com_1,0.0,1
hp-118.cae.wisc.edu_1,0.0,1
www-b5.proxy.aol.com_266,0.0,1
student.physics.upenn.edu_2,0.0,1
163.205.12.100_87,0.0,1
eepc116.ee.surrey.ac.uk_2,0.0,1
163.205.12.100_8,0.0,1
www-d2.proxy.aol.com_150,0.0,1
www-d4.proxy.aol.com_541,0.0,1
parm1.resd.honeywell.com_1,0.0,1
158.96.217.20_1,0.0,1
zucchini.eng.uci.edu_1,0.0,1
ws78.uncc.edu_1,0.0,1
zuse.informatik.uni-dortmund.de_1,0.0,1
mozart.compsci.com_1,0.0,1
surfski.webcrawler.com_2,0.0,1
128.159.132.66_6,0.0,1
studentbibacc.tamu.edu_1,0.0,1
mrkpc.b17b.ingr.com_1,0.0,1
ip217.slip.indy.net_1,0.0,1
bdtravel.its.net_1,0.0,1
128.159.154.119_11,0.0,1
128.159.154.119_3,0.0,1
ehsmac.ehs.colostate.edu_1,0.0,1
scottp.gsfc.nasa.gov_1,0.0,1
www-b4.proxy.aol.com_177,0.0,1
arrow.csci.unt.edu_1,0.0,1
mercury.mcs.com_1,0.0,1
